"Iteration" "Assoc_Stat" "S_IBS" "S_AM" "S_AS" "S_LIN" "S_REC" "S_QUAD" "S_012" "S_123" "S_124" "S_h1" "skat.kernel" "tree1" "tree2" "tree3" "tree4" "tree5"
"290" 110 "SKAT" 0.0933660869714348 0.0933660869714348 0.0933660869714348 1 0.987803432965184 1 0.313888744375643 0.313888744375642 0.576620353138033 0.313888744375642 8.05744256999752e-05 0.116153266536539 0.116153266536539 0.239820265313288 0.23199509296046 0.23199509296046
"293" 113 "SKAT" 0.0815197462758768 0.0815197462758768 0.0815197462758763 1 0.999978232594422 1 0.109525611569383 0.109525611569383 0.133098844538921 0.109525611569383 0.00252596591238929 0.605216786029013 0.605216786029013 0.131274225444598 0.129681898388004 0.129681898388003
"296" 116 "SKAT" 0.356538617531266 0.356538617531266 0.356538617531267 1 1 0.982620565564168 0.346299983385007 0.346299983385008 0.424444774656043 0.346299983385006 0.00298009221594286 0.252402824325107 0.252402824325107 0.13621409288614 0.13317449255756 0.13317449255756
"297" 117 "SKAT" 0.425844542759625 0.425844542759625 0.425844542759624 1 1 0.999923415618652 0.479269882617512 0.479269882617512 0.655320434317084 0.479269882617514 0.00658022318799267 0.562664230417218 0.562664230417219 0.20475962532874 0.19886535249877 0.198865352498771
"298" 118 "SKAT" 0.0799223729802938 0.0799223729802938 0.0799223729802928 0.711728243450218 0.379852153064971 1 0.0862690557540123 0.0862690557540127 0.118082276179731 0.0862690557540118 0.0144723843105563 0.180657236961138 0.180657236961138 0.257412179671727 0.252147465890191 0.25214746589019
"301" 91 "GTSR" 0 0 0 0.674 0.938 0.726 0 0.114 0.074 0.004 0 0 0 0 0 0
"303" 93 "GTSR" 0.002 0.002 0.002 0.496 0.686 0.484 0.002 0.218 0.228 0 0 0.142 0.142 0 0 0
"304" 94 "GTSR" 0.176 0.176 0.268 0.72 0.662 0.558 0.198 0.582 0.656 0.184 0 0.762 0.762 0.002 0.002 0.002
"305" 95 "GTSR" 0 0 0 0.704 0.982 0.768 0 0.002 0.004 0 0 0.77 0.77 0.004 0.006 0.006
"306" 96 "GTSR" 0.052 0.052 0.054 0.978 0.948 0.99 0.03 0.15 0.124 0.018 0.04 0.802 0.802 0.05 0.058 0.058
"307" 97 "GTSR" 0.524 0.524 0.466 0.866 0.868 0.972 0.524 0.616 0.696 0.668 0.002 0.474 0.474 0.692 0.784 0.784
"314" 104 "GTSR" 0.458 0.458 0.52 0.926 0.852 0.962 0.568 0.882 0.876 0.618 0 0.678 0.678 0.046 0.044 0.044
"316" 106 "GTSR" 0 0 0.002 0.65 0.694 0.632 0 0.044 0.034 0 0 0.004 0.004 0.008 0.008 0.008
"317" 107 "GTSR" 0.83 0.83 0.838 0.988 0.902 0.95 0.884 0.932 0.764 0.918 0 0.966 0.966 0.004 0 0
"318" 108 "GTSR" 0.73 0.73 0.55 0.754 0.786 0.742 0.736 0.714 0.83 0.978 0 0.624 0.624 0.002 0.006 0.006
"320" 110 "GTSR" 0.326 0.326 0.654 0.844 0.898 0.902 0.996 0.898 0.866 0.75 0 0.426 0.426 0.3 0.29 0.29
"323" 113 "GTSR" 0.218 0.218 0.39 0.758 1 0.798 0.454 0.906 0.874 0.358 0 0.716 0.716 0.066 0.046 0.046
"326" 116 "GTSR" 0.954 0.954 0.97 0.882 0.906 0.868 0.914 0.89 0.786 0.946 0.002 0.738 0.738 0.084 0.086 0.086
"327" 117 "GTSR" 0.962 0.962 0.986 0.914 0.958 0.968 0.878 0.968 0.786 0.762 0 0.724 0.724 0.244 0.242 0.242
"328" 118 "GTSR" 0.256 0.256 0.184 0.982 0.828 0.942 0.276 0.64 0.804 0.5 0 0.524 0.524 0.384 0.384 0.384
"331" 91 "MDMR" 0 0 0 0 0.072 0 0 0.004 0 0.004 0 0.002 0 0 0 0
"333" 93 "MDMR" 0.004 0 0 0.012 0.908 0.036 0.008 0.002 0.008 0.002 0 0.028 0.048 0.006 0.006 0.004
"334" 94 "MDMR" 0.06 0.06 0.02 0 0.354 0 0.012 0.042 0.038 0.052 0 0.33 0.32 0.004 0.012 0.002
"335" 95 "MDMR" 0 0 0 0 0.552 0 0 0 0 0 0.002 0.228 0.214 0.034 0.04 0.038
"336" 96 "MDMR" 0.024 0.032 0.028 0.722 0.032 0.446 0.012 0.012 0.018 0.02 0 0.248 0.27 0.042 0.042 0.04
"337" 97 "MDMR" 0.754 0.716 0.642 0.028 0.206 0.046 0.708 0.718 0.764 0.796 0.036 0.88 0.9 0.412 0.416 0.386
"344" 104 "MDMR" 0.114 0.12 0.046 0.016 0.996 0.024 0.202 0.122 0.238 0.122 0 0.568 0.594 0.038 0.044 0.022
"346" 106 "MDMR" 0 0 0.002 0 0.04 0.002 0.002 0.004 0.006 0 0.006 0.02 0.01 0.21 0.186 0.21
"347" 107 "MDMR" 0.262 0.266 0.246 0.056 0.668 0.208 0.406 0.318 0.526 0.4 0.004 0.39 0.38 0.01 0.004 0.002
"348" 108 "MDMR" 0.216 0.216 0.354 0.11 0.57 0.33 0.59 0.406 0.616 0.332 0.122 0.684 0.688 0.006 0.004 0.002
"350" 110 "MDMR" 0.07 0.07 0.138 0.578 0.62 0.548 0.48 0.44 0.676 0.334 0 0.142 0.128 0.122 0.116 0.11
"353" 113 "MDMR" 0.072 0.06 0.038 0.046 0.68 0.066 0.06 0.086 0.136 0.08 0.006 0.654 0.692 0.05 0.05 0.052
